ProductID,ProductName,Category,Subcategory,SupplierID,Cost,Price,ProductStatus
1,River Kayaks,Kayaking,Kayaks,9,187.97,327.6,Active
2,Explorer Kayaks,Kayaking,Kayaks,14,111.26,160.41,Active
3,Professional Rods,Fishing,Rods,35,57.72,133.32,Discontinued
4,Ultralight Trekking Poles,Hiking,Trekking Poles,49,76.77,200.91,Active
5,Aluminum Paddles,Kayaking,Paddles,49,76.69,130.48,Active
6,Explorer Tents,Camping,Tents,39,33.21,85.9,Active
7,Rechargeable Lighting,Camping,Lighting,25,138.69,383.11,Active
8,Tournament Reels,Fishing,Reels,37,158.44,412.96,Active
9,River Kayaks,Kayaking,Kayaks,6,168.7,418.76,Active
10,Trail Comfort Sleeping Bags,Camping,Sleeping Bags,11,118.82,305.1,Active
11,StormGuard Jackets,Apparel,Jackets,42,74.07,200.83,Active
12,Professional Rods,Fishing,Rods,25,184.99,301.3,Active
13,Explorer Kayaks,Kayaking,Kayaks,4,87.83,217.44,Active
14,Trail Comfort Sleeping Bags,Camping,Sleeping Bags,37,74.26,125.9,Active
15,Aluminum Trekking Poles,Hiking,Trekking Poles,10,222.32,511.33,Active
16,Adventure Backpacks,Hiking,Backpacks,38,144.73,255.86,Discontinued
17,Pro Reels,Fishing,Reels,33,62.64,175.18,Discontinued
18,Alpine Tents,Camping,Tents,44,46.68,75.81,Discontinued
19,Lake Rods,Fishing,Rods,34,101.59,283.9,Active
20,Professional Rods,Fishing,Rods,35,182.97,430.78,Active
21,Carbon Paddles,Kayaking,Paddles,1,80.44,130.43,Active
22,Professional Rods,Fishing,Rods,20,229.03,599.77,Active
23,Carbon Trekking Poles,Hiking,Trekking Poles,34,139.45,347.24,Active
24,Pro Reels,Fishing,Reels,57,14.67,39.62,Active
25,Trail Backpacks,Hiking,Backpacks,6,220.72,601.62,Discontinued
26,LED Camp Lighting,Camping,Lighting,36,40.81,84.29,Active
27,Performance Shirts,Apparel,Shirts,45,232.94,572.42,Active
28,Aluminum Paddles,Kayaking,Paddles,29,248.84,574.78,Discontinued
29,Summit Tents,Camping,Tents,36,25.37,36.27,Active
30,River Rods,Fishing,Rods,15,27.04,61.75,Active
31,Cold Weather Sleeping Bags,Camping,Sleeping Bags,32,133.4,238.77,Active
32,Professional Rods,Fishing,Rods,31,234.52,515.82,Active
33,Runner Trail Shoes,Footwear,Trail Shoes,23,32.64,75.81,Discontinued
34,Explorer Trail Shoes,Footwear,Trail Shoes,42,23.0,53.24,Active
35,Mountain Sleeping Bags,Camping,Sleeping Bags,16,91.43,238.3,Active
36,Carbon Trekking Poles,Hiking,Trekking Poles,16,111.25,199.13,Active
37,Summit Hiking Boots,Footwear,Hiking Boots,1,166.51,359.13,Active
38,Explorer Backpacks,Hiking,Backpacks,26,126.55,215.04,Active
39,Carbon Trekking Poles,Hiking,Trekking Poles,51,246.47,436.57,Discontinued
40,Moisture Shirts,Apparel,Shirts,36,239.76,669.79,Discontinued
41,Explorer Backpacks,Hiking,Backpacks,48,62.25,92.25,Active
42,Carbon Paddles,Kayaking,Paddles,59,22.03,45.55,Active
43,LED Camp Lighting,Camping,Lighting,5,214.32,320.61,Active
44,Mountain Hiking Boots,Footwear,Hiking Boots,40,69.09,154.23,Active
45,Adventure Trail Shoes,Footwear,Trail Shoes,16,59.02,141.81,Active
46,Mountain Hiking Boots,Footwear,Hiking Boots,60,164.92,336.46,Active
47,Mountain Sleeping Bags,Camping,Sleeping Bags,5,249.63,697.6,Active
48,Spin Reels,Fishing,Reels,57,233.98,616.12,Active
49,Performance Shirts,Apparel,Shirts,20,115.16,248.8,Active
50,Carbon Paddles,Kayaking,Paddles,8,235.34,373.72,Active
51,Ocean Kayaks,Kayaking,Kayaks,22,77.62,131.56,Active
52,Aluminum Paddles,Kayaking,Paddles,4,70.27,187.72,Active
53,Aluminum Paddles,Kayaking,Paddles,9,20.58,38.42,Active
54,Ultralight Trekking Poles,Hiking,Trekking Poles,8,179.36,391.95,Active
55,Explorer Kayaks,Kayaking,Kayaks,36,18.65,35.75,Active
56,Summit Hiking Boots,Footwear,Hiking Boots,51,83.98,223.27,Active
57,StormGuard Jackets,Apparel,Jackets,50,69.89,107.9,Discontinued
58,River Rods,Fishing,Rods,52,217.51,601.78,Active
59,Summit Hiking Boots,Footwear,Hiking Boots,60,186.78,348.36,Discontinued
60,Ocean Kayaks,Kayaking,Kayaks,25,48.21,114.83,Active
61,Summit Hiking Boots,Footwear,Hiking Boots,20,205.98,421.11,Active
62,Adventure Backpacks,Hiking,Backpacks,56,56.35,104.79,Active
63,Moisture Shirts,Apparel,Shirts,54,132.26,310.99,Active
64,TrailMaster Tents,Camping,Tents,17,52.86,145.24,Active
65,Rechargeable Lighting,Camping,Lighting,28,92.96,232.49,Active
66,TrailPro Hiking Boots,Footwear,Hiking Boots,34,20.65,41.52,Active
67,Performance Shirts,Apparel,Shirts,40,237.73,639.27,Active
68,Explorer Kayaks,Kayaking,Kayaks,43,226.01,476.87,Discontinued
69,Moisture Shirts,Apparel,Shirts,27,80.96,127.77,Discontinued
70,Explorer Kayaks,Kayaking,Kayaks,54,146.59,288.56,Active
71,Performance Shirts,Apparel,Shirts,42,113.17,250.33,Active
72,Adventure Trail Shoes,Footwear,Trail Shoes,51,172.15,364.21,Active
73,Ocean Kayaks,Kayaking,Kayaks,22,133.71,305.68,Active
74,Carbon Trekking Poles,Hiking,Trekking Poles,3,203.58,327.01,Active
75,TrailPro Hiking Boots,Footwear,Hiking Boots,13,109.47,249.77,Discontinued
76,Runner Trail Shoes,Footwear,Trail Shoes,58,45.42,107.31,Active
77,Summit Hiking Boots,Footwear,Hiking Boots,30,202.99,481.95,Active
78,River Rods,Fishing,Rods,43,119.55,301.5,Active
79,Explorer Trail Shoes,Footwear,Trail Shoes,56,117.02,189.9,Discontinued
80,Runner Trail Shoes,Footwear,Trail Shoes,50,211.57,378.34,Discontinued
81,Ocean Kayaks,Kayaking,Kayaks,16,115.57,277.25,Active
82,Moisture Shirts,Apparel,Shirts,25,29.34,47.27,Active
83,River Kayaks,Kayaking,Kayaks,30,109.57,204.15,Discontinued
84,Explorer Tents,Camping,Tents,45,103.47,256.37,Active
85,Pro Reels,Fishing,Reels,49,11.42,21.61,Discontinued
86,TrailPro Hiking Boots,Footwear,Hiking Boots,2,62.66,125.96,Discontinued
87,Moisture Shirts,Apparel,Shirts,9,49.61,101.92,Active
88,Summit Hiking Boots,Footwear,Hiking Boots,30,164.26,261.17,Active
89,Trail Comfort Sleeping Bags,Camping,Sleeping Bags,22,88.56,180.36,Discontinued
90,Outdoor Shirts,Apparel,Shirts,48,210.38,433.05,Active
91,StormGuard Jackets,Apparel,Jackets,3,26.47,72.53,Active
92,Trail Backpacks,Hiking,Backpacks,31,159.12,275.91,Active
93,Lake Rods,Fishing,Rods,11,177.87,439.99,Active
94,Carbon Trekking Poles,Hiking,Trekking Poles,37,148.88,402.04,Discontinued
95,Summit Hiking Boots,Footwear,Hiking Boots,16,152.1,389.8,Active
96,Carbon Paddles,Kayaking,Paddles,3,201.09,440.85,Active
97,Tournament Reels,Fishing,Reels,22,98.94,208.6,Active
98,Runner Trail Shoes,Footwear,Trail Shoes,58,114.05,217.5,Discontinued
99,Ocean Kayaks,Kayaking,Kayaks,42,52.27,111.36,Active
100,Pro Reels,Fishing,Reels,18,114.54,277.58,Active
101,Explorer Backpacks,Hiking,Backpacks,30,221.59,385.88,Discontinued
102,Thermal Jackets,Apparel,Jackets,14,214.23,354.46,Active
103,Outdoor Shirts,Apparel,Shirts,18,221.28,527.01,Active
104,River Rods,Fishing,Rods,36,67.93,133.75,Active
105,Aluminum Paddles,Kayaking,Paddles,19,117.56,167.42,Active
106,TrailPro Hiking Boots,Footwear,Hiking Boots,36,169.35,324.58,Active
107,Adventure Trail Shoes,Footwear,Trail Shoes,17,178.69,317.94,Active
108,LED Camp Lighting,Camping,Lighting,49,85.73,209.18,Active
109,Adventure Backpacks,Hiking,Backpacks,49,126.21,304.72,Active
110,TrailMaster Tents,Camping,Tents,1,64.6,106.67,Active
111,RainShell Jackets,Apparel,Jackets,9,142.81,339.37,Discontinued
112,TrailMaster Tents,Camping,Tents,12,122.66,247.36,Active
113,Performance Shirts,Apparel,Shirts,5,207.31,406.53,Active
114,Adventure Backpacks,Hiking,Backpacks,16,237.79,361.26,Active
115,Tournament Reels,Fishing,Reels,50,153.07,346.82,Discontinued
116,Adventure Trail Shoes,Footwear,Trail Shoes,20,216.44,603.01,Active
117,River Rods,Fishing,Rods,6,160.12,283.49,Active
118,Adventure Backpacks,Hiking,Backpacks,29,28.02,39.33,Discontinued
119,RainShell Jackets,Apparel,Jackets,56,79.15,142.14,Discontinued
120,LED Camp Lighting,Camping,Lighting,41,231.74,580.04,Active
121,Mountain Hiking Boots,Footwear,Hiking Boots,18,63.95,102.87,Active
122,Summit Tents,Camping,Tents,53,200.23,447.13,Active
123,TrailPro Hiking Boots,Footwear,Hiking Boots,18,175.28,417.1,Discontinued
124,Mountain Hiking Boots,Footwear,Hiking Boots,21,19.57,39.23,Active
125,Summit Tents,Camping,Tents,37,240.86,619.09,Active
126,Carbon Paddles,Kayaking,Paddles,34,193.15,317.78,Discontinued
127,StormGuard Jackets,Apparel,Jackets,6,114.61,291.1,Discontinued
128,Outdoor Shirts,Apparel,Shirts,11,87.05,134.62,Active
129,Adventure Trail Shoes,Footwear,Trail Shoes,49,169.02,331.39,Active
130,TrailPro Hiking Boots,Footwear,Hiking Boots,50,70.58,110.27,Discontinued
131,Professional Rods,Fishing,Rods,4,218.65,447.53,Active
132,Tournament Reels,Fishing,Reels,49,191.55,435.89,Active
133,Ultralight Trekking Poles,Hiking,Trekking Poles,57,41.44,74.73,Discontinued
